"Year","Industries_luok","Municipality","Bankruptcies instigated, number of enterprises","Bankruptcies instigated, number of employees"
"2020","Total","Lohja",17,32
"2020","Total","Loimaa",4,9
"2020","Total","Loppi",1,1
"2020","Total","Loviisa",7,30
"2020","Total","Luhanka",1,2
"2020","Total","Lumijoki",1,6
"2020","Total","Lumparland",0,0
"2020","Total","Larsmo",0,0
"2020","Total","Luumäki",1,6
"2020","Total","Malax",2,2
"2020","Total","Mariehamn",4,10
"2020","Total","Marttila",1,1
"2020","Total","Masku",4,10
"2020","Total","Merijärvi",1,1
"2020","Total","Merikarvia",1,5
"2020","Total","Miehikkälä",0,0
"2020","Total","Mikkeli",18,60
"2020","Total","Muhos",2,5
"2020","Total","Multia",0,0
"2020","Total","Muonio",0,0
"2020","Total","Korsholm",3,7
"2020","Total","Muurame",6,18
"2020","Total","Mynämäki",3,7
"2020","Total","Myrskylä",0,0
"2020","Total","Mäntsälä",3,4
"2020","Total","Mänttä-Vilppula",1,1
"2020","Total","Mäntyharju",1,1
"2020","Total","Naantali",12,47
"2020","Total","Nakkila",1,1
"2020","Total","Nivala",5,23
"2020","Total","Nokia",11,24
"2020","Total","Nousiainen",2,6
"2020","Total","Nurmes",3,10
"2020","Total","Nurmijärvi",17,86
"2020","Total","Närpes",3,4
"2020","Total","Orimattila",4,23
"2020","Total","Oripää",0,0
"2020","Total","Orivesi",6,22
"2020","Total","Oulainen",3,9
"2020","Total","Oulu",69,344
"2020","Total","Outokumpu",2,2
"2020","Total","Padasjoki",3,12
"2020","Total","Paimio",5,22
"2020","Total","Paltamo",1,1
"2020","Total","Pargas",5,5
"2020","Total","Parikkala",5,7
"2020","Total","Parkano",3,10
"2020","Total","Pedersöre",6,15
"2020","Total","Pelkosenniemi",0,0
"2020","Total","Pello",1,2
"2020","Total","Perho",1,1
"2020","Total","Petäjävesi",1,1
"2020","Total","Pieksämäki",4,6
"2020","Total","Pielavesi",0,0
"2020","Total","Jakobstad",10,54
"2020","Total","Pihtipudas",3,3
"2020","Total","Pirkkala",5,29
"2020","Total","Polvijärvi",2,6
"2020","Total","Pomarkku",0,0
"2020","Total","Pori",30,68
"2020","Total","Pornainen",2,17
"2020","Total","Porvoo",28,163
"2020","Total","Posio",2,2
"2020","Total","Pudasjärvi",4,6
"2020","Total","Pukkila",0,0
"2020","Total","Punkalaidun",3,10
"2020","Total","Puolanka",3,9
"2020","Total","Puumala",2,15
"2020","Total","Pyhtää",2,9
"2020","Total","Pyhäjoki",1,1
"2020","Total","Pyhäjärvi",2,3
"2020","Total","Pyhäntä",0,0
"2020","Total","Pyhäranta",1,3
"2020","Total","Pälkäne",4,17
"2020","Total","Pöytyä",4,7
"2020","Total","Raahe",8,137
"2020","Total","Raseborg",13,41
"2020","Total","Raisio",3,20
"2020","Total","Rantasalmi",3,25
"2020","Total","Ranua",3,13
"2020","Total","Rauma",16,41
"2020","Total","Rautalampi",0,0
"2020","Total","Rautavaara",1,2
"2020","Total","Rautjärvi",2,3
"2020","Total","Reisjärvi",0,0
"2020","Total","Riihimäki",4,21
"2020","Total","Ristijärvi",0,0
"2020","Total","Rovaniemi",24,61
"2020","Total","Ruokolahti",1,4
"2020","Total","Ruovesi",0,0
"2020","Total","Rusko",6,14
"2020","Total","Rääkkylä",0,0
"2020","Total","Saarijärvi",6,108
"2020","Total","Salla",0,0
"2020","Total","Salo",22,79
"2020","Total","Saltvik",1,1
"2020","Total","Sastamala",8,29
"2020","Total","Sauvo",0,0
"2020","Total","Savitaipale",0,0
"2020","Total","Savonlinna",18,23
"2020","Total","Savukoski",0,0
"2020","Total","Seinäjoki",18,86
"2020","Total","Sievi",1,1
"2020","Total","Siikainen",0,0
"2020","Total","Siikajoki",0,0
"2020","Total","Siikalatva",6,11
"2020","Total","Siilinjärvi",6,18
"2020","Total","Simo",2,2
"2020","Total","Sipoo",7,13
"2020","Total","Siuntio",2,10
"2020","Total","Sodankylä",1,10
"2020","Total","Soini",1,1
"2020","Total","Somero",1,1
"2020","Total","Sonkajärvi",0,0
"2020","Total","Sotkamo",6,28
"2020","Total","Sottunga",0,0
"2020","Total","Sulkava",2,2
"2020","Total","Sund",1,6
"2020","Total","Suomussalmi",1,8
"2020","Total","Suonenjoki",1,3
"2020","Total","Sysmä",1,1
"2020","Total","Säkylä",2,3
"2020","Total","Taipalsaari",0,0
"2020","Total","Taivalkoski",2,2
"2020","Total","Taivassalo",0,0
"2020","Total","Tammela",2,3
"2020","Total","Tampere",104,473
"2020","Total","Tervo",0,0
"2020","Total","Tervola",0,0
"2020","Total","Teuva",4,4
"2020","Total","Tohmajärvi",1,1
"2020","Total","Toholampi",2,13
"2020","Total","Toivakka",0,0
"2020","Total","Tornio",11,51
"2020","Total","Turku",74,384
"2020","Total","Tuusniemi",1,1
"2020","Total","Tuusula",16,43
"2020","Total","Tyrnävä",1,1
"2020","Total","Ulvila",2,2
"2020","Total","Urjala",1,10
"2020","Total","Utajärvi",2,7
"2020","Total","Utsjoki",0,0
"2020","Total","Uurainen",0,0
"2020","Total","Nykarleby",6,7
"2020","Total","Uusikaupunki",8,37
"2020","Total","Vaala",0,0
"2020","Total","Vaasa",24,88
"2020","Total","Valkeakoski",3,9
"2020","Total","Vantaa",74,913
"2020","Total","Varkaus",8,10
"2020","Total","Vehmaa",0,0
"2020","Total","Vesanto",1,1
"2020","Total","Vesilahti",0,0
"2020","Total","Veteli",1,5
"2020","Total","Vieremä",1,6
"2020","Total","Vihti",12,35
"2020","Total","Viitasaari",2,7
"2020","Total","Vimpeli",1,4
"2020","Total","Virolahti",1,22
"2020","Total","Virrat",0,0
"2020","Total","Vårdö",0,0
"2020","Total","Vörå",2,2
"2020","Total","Ylitornio",0,0
"2020","Total","Ylivieska",1,1
"2020","Total","Ylöjärvi",8,53
"2020","Total","Ypäjä",0,0
"2020","Total","Ähtäri",1,1
"2020","Total","Äänekoski",2,13
"2020","Agriculture, forestry and fishing","WHOLE COUNTRY",62,128
"2020","Agriculture, forestry and fishing","Akaa",1,1
"2020","Agriculture, forestry and fishing","Alajärvi",0,0
"2020","Agriculture, forestry and fishing","Alavieska",0,0
"2020","Agriculture, forestry and fishing","Alavus",0,0
"2020","Agriculture, forestry and fishing","Asikkala",0,0
"2020","Agriculture, forestry and fishing","Askola",0,0
"2020","Agriculture, forestry and fishing","Aura",0,0
"2020","Agriculture, forestry and fishing","Brändö",0,0
"2020","Agriculture, forestry and fishing","Eckerö",0,0
"2020","Agriculture, forestry and fishing","Enonkoski",0,0
"2020","Agriculture, forestry and fishing","Enontekiö",0,0
"2020","Agriculture, forestry and fishing","Espoo",0,0
"2020","Agriculture, forestry and fishing","Eura",1,9
"2020","Agriculture, forestry and fishing","Eurajoki",0,0
"2020","Agriculture, forestry and fishing","Evijärvi",1,8
"2020","Agriculture, forestry and fishing","Finström",0,0
"2020","Agriculture, forestry and fishing","Forssa",0,0
"2020","Agriculture, forestry and fishing","Föglö",0,0
"2020","Agriculture, forestry and fishing","Geta",0,0
"2020","Agriculture, forestry and fishing","Haapajärvi",1,2
"2020","Agriculture, forestry and fishing","Haapavesi",0,0
"2020","Agriculture, forestry and fishing","Hailuoto",0,0
"2020","Agriculture, forestry and fishing","Halsua",0,0
"2020","Agriculture, forestry and fishing","Hamina",0,0
"2020","Agriculture, forestry and fishing","Hammarland",0,0
"2020","Agriculture, forestry and fishing","Hankasalmi",0,0
"2020","Agriculture, forestry and fishing","Hanko",0,0
"2020","Agriculture, forestry and fishing","Harjavalta",0,0
"2020","Agriculture, forestry and fishing","Hartola",0,0
"2020","Agriculture, forestry and fishing","Hattula",0,0
"2020","Agriculture, forestry and fishing","Hausjärvi",0,0
"2020","Agriculture, forestry and fishing","Heinola",0,0
"2020","Agriculture, forestry and fishing","Heinävesi",0,0
"2020","Agriculture, forestry and fishing","Helsinki",2,9
"2020","Agriculture, forestry and fishing","Hirvensalmi",0,0
"2020","Agriculture, forestry and fishing","Hollola",0,0
"2020","Agriculture, forestry and fishing","Huittinen",0,0
"2020","Agriculture, forestry and fishing","Humppila",0,0
"2020","Agriculture, forestry and fishing","Hyrynsalmi",0,0
"2020","Agriculture, forestry and fishing","Hyvinkää",0,0
"2020","Agriculture, forestry and fishing","Hämeenkyrö",0,0
"2020","Agriculture, forestry and fishing","Hämeenlinna",0,0
"2020","Agriculture, forestry and fishing","Ii",0,0
"2020","Agriculture, forestry and fishing","Iisalmi",0,0
"2020","Agriculture, forestry and fishing","Iitti",1,1
"2020","Agriculture, forestry and fishing","Ikaalinen",0,0
"2020","Agriculture, forestry and fishing","Ilmajoki",0,0
"2020","Agriculture, forestry and fishing","Ilomantsi",0,0
"2020","Agriculture, forestry and fishing","Imatra",0,0
"2020","Agriculture, forestry and fishing","Inari",0,0
"2020","Agriculture, forestry and fishing","Ingå",0,0
"2020","Agriculture, forestry and fishing","Isojoki",0,0
"2020","Agriculture, forestry and fishing","Isokyrö",1,1
"2020","Agriculture, forestry and fishing","Janakkala",0,0
"2020","Agriculture, forestry and fishing","Joensuu",0,0
"2020","Agriculture, forestry and fishing","Jokioinen",0,0
"2020","Agriculture, forestry and fishing","Jomala",0,0
"2020","Agriculture, forestry and fishing","Joroinen",0,0
"2020","Agriculture, forestry and fishing","Joutsa",0,0
"2020","Agriculture, forestry and fishing","Juuka",0,0
"2020","Agriculture, forestry and fishing","Juupajoki",0,0
"2020","Agriculture, forestry and fishing","Juva",1,1
"2020","Agriculture, forestry and fishing","Jyväskylä",2,10
"2020","Agriculture, forestry and fishing","Jämijärvi",1,1
"2020","Agriculture, forestry and fishing","Jämsä",0,0
"2020","Agriculture, forestry and fishing","Järvenpää",0,0
"2020","Agriculture, forestry and fishing","Kaarina",0,0
"2020","Agriculture, forestry and fishing","Kaavi",0,0
"2020","Agriculture, forestry and fishing","Kajaani",1,1
"2020","Agriculture, forestry and fishing","Kalajoki",2,2
"2020","Agriculture, forestry and fishing","Kangasala",0,0
"2020","Agriculture, forestry and fishing","Kangasniemi",1,1
"2020","Agriculture, forestry and fishing","Kankaanpää",0,0
"2020","Agriculture, forestry and fishing","Kannonkoski",0,0
"2020","Agriculture, forestry and fishing","Kannus",1,5
"2020","Agriculture, forestry and fishing","Karijoki",0,0
"2020","Agriculture, forestry and fishing","Karkkila",0,0
"2020","Agriculture, forestry and fishing","Karstula",0,0
"2020","Agriculture, forestry and fishing","Karvia",0,0
"2020","Agriculture, forestry and fishing","Kaskinen",0,0
"2020","Agriculture, forestry and fishing","Kauhajoki",0,0
"2020","Agriculture, forestry and fishing","Kauhava",3,4
"2020","Agriculture, forestry and fishing","Kauniainen",0,0
"2020","Agriculture, forestry and fishing","Kaustinen",1,2
"2020","Agriculture, forestry and fishing","Keitele",0,0
"2020","Agriculture, forestry and fishing","Kemi",0,0
"2020","Agriculture, forestry and fishing","Kemijärvi",0,0
"2020","Agriculture, forestry and fishing","Keminmaa",0,0
"2020","Agriculture, forestry and fishing","Kimitoön",0,0
"2020","Agriculture, forestry and fishing","Kempele",0,0
"2020","Agriculture, forestry and fishing","Kerava",0,0
"2020","Agriculture, forestry and fishing","Keuruu",0,0
"2020","Agriculture, forestry and fishing","Kihniö",0,0
"2020","Agriculture, forestry and fishing","Kinnula",0,0
"2020","Agriculture, forestry and fishing","Kirkkonummi",0,0
"2020","Agriculture, forestry and fishing","Kitee",0,0
"2020","Agriculture, forestry and fishing","Kittilä",0,0
"2020","Agriculture, forestry and fishing","Kiuruvesi",0,0
"2020","Agriculture, forestry and fishing","Kivijärvi",0,0
"2020","Agriculture, forestry and fishing","Kokemäki",0,0
"2020","Agriculture, forestry and fishing","Kokkola",1,1
"2020","Agriculture, forestry and fishing","Kolari",0,0
"2020","Agriculture, forestry and fishing","Konnevesi",0,0
"2020","Agriculture, forestry and fishing","Kontiolahti",0,0
"2020","Agriculture, forestry and fishing","Korsnäs",0,0
"2020","Agriculture, forestry and fishing","Koski Tl",0,0
"2020","Agriculture, forestry and fishing","Kotka",0,0
"2020","Agriculture, forestry and fishing","Kouvola",2,17
"2020","Agriculture, forestry and fishing","Kristinestad",0,0
"2020","Agriculture, forestry and fishing","Kronoby",0,0
"2020","Agriculture, forestry and fishing","Kuhmo",0,0
"2020","Agriculture, forestry and fishing","Kuhmoinen",0,0
